2.5 0.43967
2.515 0.443079
2.53 0.446503
2.545 0.449941
2.56 0.453393
2.575 0.456861
2.59 0.460344
2.605 0.463841
2.62 0.467354
2.635 0.470883
2.65 0.474427
2.665 0.477988
2.68 0.481564
2.695 0.485156
2.71 0.488766
2.725 0.492392
2.74 0.496034
2.755 0.499694
2.77 0.503371
2.785 0.507065
2.8 0.510777
2.815 0.514507
2.83 0.518256
2.845 0.522022
2.86 0.525807
2.875 0.529611
2.89 0.533435
2.905 0.537278
2.92 0.54114
2.935 0.545022
2.95 0.548924
2.965 0.552847
2.98 0.55679
2.995 0.560755
3.01 0.564741
3.025 0.568748
3.04 0.572777
3.055 0.576829
3.07 0.580903
3.085 0.585
3.1 0.58912
3.115 0.593263
3.13 0.597431
3.145 0.601623
3.16 0.605839
3.175 0.610081
3.19 0.614348
3.205 0.618641
3.22 0.62296
3.235 0.627305
3.25 0.631678
3.265 0.636078
3.28 0.640507
3.295 0.644963
3.31 0.649449
3.325 0.653965
3.34 0.65851
3.355 0.663085
3.37 0.667692
3.385 0.67233
3.4 0.677
3.415 0.681704
3.43 0.68644
3.445 0.691211
3.46 0.696016
3.475 0.700856
3.49 0.705733
3.505 0.710646
3.52 0.715597
3.535 0.720585
3.55 0.725613
3.565 0.730681
3.58 0.735789
3.595 0.740939
3.61 0.746131
3.625 0.751366
3.64 0.756646
3.655 0.761971
3.67 0.767342
3.685 0.772761
3.7 0.778228
3.715 0.783744
3.73 0.789313
3.745 0.794933
3.76 0.800606
3.775 0.806334
3.79 0.812119
3.805 0.817961
3.82 0.823862
3.835 0.829824
3.85 0.835849
3.865 0.841938
3.88 0.848094
3.895 0.854318
3.91 0.860611
3.925 0.866977
3.94 0.873418
3.955 0.879935
3.97 0.886532
3.985 0.893211
4 0.899974
4.015 0.906826
4.03 0.913768
4.045 0.920804
4.06 0.927938
4.075 0.935172
4.09 0.942513
4.105 0.949962
4.12 0.957525
4.135 0.965207
4.15 0.973012
4.165 0.980947
4.18 0.989016
4.195 0.997226
4.21 1.00559
4.225 1.0141
4.24 1.02278
4.255 1.03163
4.27 1.04066
4.285 1.04988
4.3 1.05931
4.315 1.06895
4.33 1.07883
4.345 1.08895
4.36 1.09933
4.375 1.10999
4.39 1.12096
4.405 1.13225
4.42 1.14391
4.435 1.15595
4.45 1.16842
4.465 1.18136
4.48 1.19482
4.495 1.20887
4.51 1.22357
4.525 1.23903
4.54 1.25537
4.555 1.27272
4.57 1.29129
4.585 1.31136
4.6 1.33332
4.615 1.35776
4.63 1.3857
4.645 1.41907
4.66 1.4628
4.675 1.54986
4.69 4.18467
4.705 4.18954
4.72 4.19437
4.735 4.19916
4.75 4.20392
4.765 4.20865
4.78 4.21334
4.795 4.21801
4.81 4.22263
4.825 4.22723
4.84 4.2318
4.855 4.23633
4.87 4.24084
4.885 4.24531
4.9 4.24976
4.915 4.25418
4.93 4.25857
4.945 4.26294
4.96 4.26727
4.975 4.27159
4.99 4.27587
5.005 4.28013
5.02 4.28436
5.035 4.28857
5.05 4.29276
5.065 4.29692
5.08 4.30105
5.095 4.30517
5.11 4.30926
5.125 4.31332
5.14 4.31737
5.155 4.32139
5.17 4.32539
5.185 4.32937
5.2 4.33333
5.215 4.33727
5.23 4.34118
5.245 4.34508
5.26 4.34895
5.275 4.35281
5.29 4.35665
5.305 4.36046
5.32 4.36426
5.335 4.36804
5.35 4.3718
5.365 4.37554
5.38 4.37927
5.395 4.38298
5.41 4.38667
5.425 4.39034
5.44 4.39399
5.455 4.39763
5.47 4.40125
5.485 4.40485
