x,S,eta
-1,0.6,0.949927
-0.995,0.6,0.949927
-0.99,0.6,0.949925
-0.985,0.6,0.949921
-0.98,0.6,0.949915
-0.975,0.6,0.949906
-0.97,0.6,0.949896
-0.965,0.6,0.949882
-0.96,0.6,0.949866
-0.955,0.6,0.949847
-0.95,0.6,0.949824
-0.945,0.6,0.949797
-0.94,0.6,0.949765
-0.935,0.6,0.949729
-0.93,0.6,0.949687
-0.925,0.6,0.949639
-0.92,0.6,0.949584
-0.915,0.6,0.949522
-0.91,0.6,0.94945
-0.905,0.6,0.949369
-0.9,0.6,0.949277
-0.895,0.6,0.949173
-0.89,0.6,0.949055
-0.885,0.6,0.948922
-0.88,0.6,0.948773
-0.875,0.6,0.948606
-0.87,0.6,0.948419
-0.865,0.6,0.948209
-0.86,0.6,0.947976
-0.855,0.6,0.947716
-0.85,0.6,0.947427
-0.845,0.6,0.947106
-0.84,0.6,0.946752
-0.835,0.6,0.94636
-0.83,0.6,0.945928
-0.825,0.6,0.945452
-0.82,0.6,0.944929
-0.815,0.6,0.944355
-0.81,0.6,0.943728
-0.805,0.6,0.943042
-0.8,0.6,0.942293
-0.795,0.6,0.941478
-0.79,0.6,0.940592
-0.785,0.6,0.93963
-0.78,0.6,0.938588
-0.775,0.6,0.937461
-0.77,0.6,0.936243
-0.765,0.6,0.934931
-0.76,0.6,0.933518
-0.755,0.6,0.932
-0.75,0.6,0.930371
-0.745,0.6,0.928626
-0.74,0.6,0.926759
-0.735,0.6,0.924765
-0.73,0.6,0.922638
-0.725,0.6,0.920372
-0.72,0.6,0.917962
-0.715,0.6,0.915402
-0.71,0.6,0.912687
-0.705,0.6,0.909811
-0.7,0.6,0.906768
-0.695,0.6,0.903552
-0.69,0.6,0.900159
-0.685,0.6,0.896583
-0.68,0.6,0.892819
-0.675,0.6,0.88886
-0.67,0.6,0.884703
-0.665,0.6,0.880342
-0.66,0.6,0.875772
-0.655,0.6,0.870989
-0.65,0.6,0.865987
-0.645,0.6,0.860763
-0.64,0.6,0.855311
-0.635,0.6,0.849629
-0.63,0.6,0.843712
-0.625,0.6,0.837557
-0.62,0.6,0.83116
-0.615,0.6,0.824518
-0.61,0.6,0.817629
-0.605,0.6,0.81049
-0.6,0.6,0.803099
-0.595,0.6,0.795454
-0.59,0.6,0.787555
-0.585,0.6,0.7794
-0.58,0.6,0.77099
-0.575,0.6,0.762326
-0.57,0.6,0.753408
-0.565,0.6,0.74424
-0.56,0.6,0.734824
-0.555,0.6,0.725166
-0.55,0.6,0.715273
-0.545,0.6,0.705154
-0.54,0.6,0.694821
-0.535,0.6,0.684291
-0.53,0.6,0.673585
-0.525,0.6,0.662736
-0.52,0.6,0.651789
-0.515,0.6,0.640816
-0.51,0.6,0.62994
-0.505,0.6,0.619408
-0.5,0.6,0.609874
-0.495,0.6,0.603688
-0.49,0.6,0.601764
-0.485,0.6,0.601234
-0.48,0.6,0.600932
-0.475,0.6,0.600713
-0.47,0.6,0.600548
-0.465,0.6,0.600423
-0.46,0.6,0.600327
-0.455,0.6,0.600253
-0.45,0.6,0.600196
-0.445,0.6,0.600152
-0.44,0.6,0.600118
-0.435,0.6,0.600092
-0.43,0.6,0.600071
-0.425,0.6,0.600055
-0.42,0.599999,0.600043
-0.415,0.599999,0.600033
-0.41,0.599999,0.600025
-0.405,0.599999,0.600019
-0.4,0.599999,0.600015
-0.395,0.599998,0.600011
-0.39,0.599998,0.600008
-0.385,0.599998,0.600005
-0.38,0.599997,0.600003
-0.375,0.599997,0.600001
-0.37,0.599996,0.599999
-0.365,0.599995,0.599998
-0.36,0.599994,0.599996
-0.355,0.599993,0.599994
-0.35,0.599991,0.599992
-0.345,0.599989,0.59999
-0.34,0.599986,0.599987
-0.335,0.599983,0.599984
-0.33,0.59998,0.59998
-0.325,0.599975,0.599976
-0.32,0.59997,0.59997
-0.315,0.599963,0.599963
-0.31,0.599955,0.599955
-0.305,0.599945,0.599945
-0.3,0.599933,0.599933
-0.295,0.599918,0.599918
-0.29,0.5999,0.5999
-0.285,0.599878,0.599878
-0.28,0.599851,0.599851
-0.275,0.599818,0.599818
-0.27,0.599777,0.599778
-0.265,0.599728,0.599728
-0.26,0.599668,0.599668
-0.255,0.599595,0.599595
-0.25,0.599505,0.599505
-0.245,0.599396,0.599396
-0.24,0.599263,0.599263
-0.235,0.599101,0.599101
-0.23,0.598903,0.598903
-0.225,0.598661,0.598661
-0.22,0.598367,0.598367
-0.215,0.59801,0.59801
-0.21,0.597574,0.597574
-0.205,0.597045,0.597045
-0.2,0.596403,0.596403
-0.195,0.595624,0.595624
-0.19,0.594681,0.594681
-0.185,0.593541,0.593541
-0.18,0.592167,0.592167
-0.175,0.590515,0.590515
-0.17,0.588535,0.588535
-0.165,0.586172,0.586172
-0.16,0.583365,0.583365
-0.155,0.58005,0.58005
-0.15,0.576159,0.576159
-0.145,0.57163,0.57163
-0.14,0.566404,0.566404
-0.135,0.560437,0.560437
-0.13,0.553705,0.553705
-0.125,0.546212,0.546212
-0.12,0.537995,0.537995
-0.115,0.529131,0.529131
-0.11,0.519738,0.519738
-0.105,0.509967,0.509967
-0.1,0.5,0.5
-0.095,0.490033,0.490033
-0.09,0.480262,0.480262
-0.085,0.470869,0.470869
-0.08,0.462005,0.462005
-0.075,0.453788,0.453788
-0.07,0.446295,0.446295
-0.065,0.439563,0.439563
-0.06,0.433596,0.433596
-0.055,0.42837,0.42837
-0.05,0.423841,0.423841
-0.045,0.41995,0.41995
-0.04,0.416635,0.416635
-0.035,0.413828,0.413828
-0.03,0.411465,0.411465
-0.025,0.409485,0.409485
-0.02,0.407833,0.407833
-0.015,0.406459,0.406459
-0.01,0.405319,0.405319
-0.005,0.404376,0.404376
0,0.403597,0.403597
0.005,0.402955,0.402955
0.01,0.402426,0.402426
0.015,0.40199,0.40199
0.02,0.401632,0.401632
