x,S,eta
-1,0.6,0.95
-0.995,0.6,0.95
-0.99,0.6,0.95
-0.985,0.6,0.95
-0.98,0.6,0.95
-0.975,0.6,0.95
-0.97,0.6,0.95
-0.965,0.6,0.95
-0.96,0.6,0.95
-0.955,0.6,0.949999
-0.95,0.6,0.949999
-0.945,0.6,0.949999
-0.94,0.6,0.949999
-0.935,0.6,0.949999
-0.93,0.6,0.949998
-0.925,0.6,0.949998
-0.92,0.6,0.949997
-0.915,0.6,0.949996
-0.91,0.6,0.949995
-0.905,0.6,0.949994
-0.9,0.6,0.949992
-0.895,0.6,0.94999
-0.89,0.6,0.949988
-0.885,0.6,0.949984
-0.88,0.6,0.94998
-0.875,0.6,0.949975
-0.87,0.6,0.949968
-0.865,0.6,0.94996
-0.86,0.6,0.949949
-0.855,0.6,0.949936
-0.85,0.6,0.949919
-0.845,0.6,0.949899
-0.84,0.6,0.949874
-0.835,0.6,0.949843
-0.83,0.6,0.949804
-0.825,0.6,0.949757
-0.82,0.6,0.949699
-0.815,0.6,0.949629
-0.81,0.6,0.949543
-0.805,0.6,0.949439
-0.8,0.6,0.949313
-0.795,0.6,0.949161
-0.79,0.6,0.94898
-0.785,0.6,0.948763
-0.78,0.6,0.948504
-0.775,0.6,0.948198
-0.77,0.6,0.947836
-0.765,0.6,0.947411
-0.76,0.6,0.946912
-0.755,0.6,0.94633
-0.75,0.6,0.945653
-0.745,0.6,0.94487
-0.74,0.6,0.943966
-0.735,0.6,0.942929
-0.73,0.6,0.941742
-0.725,0.6,0.94039
-0.72,0.6,0.938856
-0.715,0.6,0.937122
-0.71,0.6,0.935169
-0.705,0.6,0.932978
-0.7,0.6,0.93053
-0.695,0.6,0.927804
-0.69,0.6,0.924779
-0.685,0.6,0.921436
-0.68,0.6,0.917753
-0.675,0.6,0.91371
-0.67,0.6,0.909286
-0.665,0.6,0.904462
-0.66,0.6,0.899217
-0.655,0.6,0.893534
-0.65,0.6,0.887394
-0.645,0.6,0.880781
-0.64,0.6,0.87368
-0.635,0.6,0.866076
-0.63,0.6,0.857959
-0.625,0.6,0.849317
-0.62,0.6,0.840144
-0.615,0.6,0.830434
-0.61,0.6,0.820186
-0.605,0.6,0.809402
-0.6,0.6,0.798088
-0.595,0.6,0.786255
-0.59,0.6,0.773922
-0.585,0.6,0.761113
-0.58,0.6,0.747863
-0.575,0.6,0.73422
-0.57,0.6,0.720247
-0.565,0.6,0.706028
-0.56,0.6,0.691677
-0.555,0.6,0.677351
-0.55,0.6,0.663266
-0.545,0.6,0.64973
-0.54,0.6,0.637184
-0.535,0.6,0.62624
-0.53,0.6,0.61761
-0.525,0.6,0.611686
-0.52,0.6,0.608044
-0.515,0.6,0.605807
-0.51,0.6,0.604325
-0.505,0.6,0.603273
-0.5,0.6,0.6025
-0.495,0.6,0.60192
-0.49,0.6,0.601479
-0.485,0.6,0.601143
-0.48,0.6,0.600885
-0.475,0.6,0.600686
-0.47,0.6,0.600532
-0.465,0.6,0.600414
-0.46,0.6,0.600321
-0.455,0.6,0.60025
-0.45,0.6,0.600194
-0.445,0.6,0.600151
-0.44,0.6,0.600117
-0.435,0.6,0.600091
-0.43,0.6,0.600071
-0.425,0.6,0.600055
-0.42,0.599999,0.600043
-0.415,0.599999,0.600033
-0.41,0.599999,0.600025
-0.405,0.599999,0.600019
-0.4,0.599999,0.600015
-0.395,0.599998,0.600011
-0.39,0.599998,0.600008
-0.385,0.599998,0.600005
-0.38,0.599997,0.600003
-0.375,0.599997,0.600001
-0.37,0.599996,0.599999
-0.365,0.599995,0.599998
-0.36,0.599994,0.599996
-0.355,0.599993,0.599994
-0.35,0.599991,0.599992
-0.345,0.599989,0.59999
-0.34,0.599986,0.599987
-0.335,0.599983,0.599984
-0.33,0.59998,0.59998
-0.325,0.599975,0.599976
-0.32,0.59997,0.59997
-0.315,0.599963,0.599963
-0.31,0.599955,0.599955
-0.305,0.599945,0.599945
-0.3,0.599933,0.599933
-0.295,0.599918,0.599918
-0.29,0.5999,0.5999
-0.285,0.599878,0.599878
-0.28,0.599851,0.599851
-0.275,0.599818,0.599818
-0.27,0.599777,0.599778
-0.265,0.599728,0.599728
-0.26,0.599668,0.599668
-0.255,0.599595,0.599595
-0.25,0.599505,0.599505
-0.245,0.599396,0.599396
-0.24,0.599263,0.599263
-0.235,0.599101,0.599101
-0.23,0.598903,0.598903
-0.225,0.598661,0.598661
-0.22,0.598367,0.598367
-0.215,0.59801,0.59801
-0.21,0.597574,0.597574
-0.205,0.597045,0.597045
-0.2,0.596403,0.596403
-0.195,0.595624,0.595624
-0.19,0.594681,0.594681
-0.185,0.593541,0.593541
-0.18,0.592167,0.592167
-0.175,0.590515,0.590515
-0.17,0.588535,0.588535
-0.165,0.586172,0.586172
-0.16,0.583365,0.583365
-0.155,0.58005,0.58005
-0.15,0.576159,0.576159
-0.145,0.57163,0.57163
-0.14,0.566404,0.566404
-0.135,0.560437,0.560437
-0.13,0.553705,0.553705
-0.125,0.546212,0.546212
-0.12,0.537995,0.537995
-0.115,0.529131,0.529131
-0.11,0.519738,0.519738
-0.105,0.509967,0.509967
-0.1,0.5,0.5
-0.095,0.490033,0.490033
-0.09,0.480262,0.480262
-0.085,0.470869,0.470869
-0.08,0.462005,0.462005
-0.075,0.453788,0.453788
-0.07,0.446295,0.446295
-0.065,0.439563,0.439563
-0.06,0.433596,0.433596
-0.055,0.42837,0.42837
-0.05,0.423841,0.423841
-0.045,0.41995,0.41995
-0.04,0.416635,0.416635
-0.035,0.413828,0.413828
-0.03,0.411465,0.411465
-0.025,0.409485,0.409485
-0.02,0.407833,0.407833
-0.015,0.406459,0.406459
-0.01,0.405319,0.405319
-0.005,0.404376,0.404376
0,0.403597,0.403597
0.005,0.402955,0.402955
0.01,0.402426,0.402426
0.015,0.40199,0.40199
0.02,0.401632,0.401632
0.025,0.401338,0.401338
0.03,0.401097,0.401097
0.035,0.400899,0.400899
0.04,0.400737,0.400737
0.045,0.400604,0.400604
0.05,0.400494,0.400494
0.055,0.400405,0.400405
0.06,0.400331,0.400331
0.065,0.400271,0.400271
0.07,0.400222,0.400222
0.075,0.400182,0.400182
0.08,0.400149,0.400149
0.085,0.400121,0.400121
0.09,0.400099,0.400099
0.095,0.400081,0.400081
0.1,0.400066,0.400066
0.105,0.400053,0.400053
0.11,0.400043,0.400043
0.115,0.400034,0.400034
0.12,0.400027,0.400027
0.125,0.400021,0.400021
0.13,0.400015,0.400015
0.135,0.40001,0.40001
0.14,0.400006,0.400006
0.145,0.400002,0.400002
0.15,0.399998,0.399998
0.155,0.399994,0.399994
0.16,0.399989,0.399989
0.165,0.399984,0.399984
0.17,0.399979,0.399979
0.175,0.399972,0.399972
0.18,0.399965,0.399965
0.185,0.399956,0.399956
0.19,0.399946,0.399946
0.195,0.399933,0.399933
0.2,0.399917,0.399917
0.205,0.399899,0.399899
0.21,0.399876,0.399876
0.215,0.399848,0.399848
0.22,0.399814,0.399814
0.225,0.399773,0.399773
0.23,0.399722,0.399722
0.235,0.399661,0.399661
0.24,0.399586,0.399586
0.245,0.399494,0.399494
0.25,0.399382,0.399382
0.255,0.399246,0.399246
0.26,0.399079,0.399079
0.265,0.398876,0.398876
0.27,0.398629,0.398629
0.275,0.398327,0.398327
0.28,0.397959,0.397959
0.285,0.397512,0.397512
0.29,0.396968,0.396968
0.295,0.396307,0.396307
0.3,0.395503,0.395503
0.305,0.39453,0.39453
0.31,0.393351,0.393351
0.315,0.391926,0.391926
0.32,0.390209,0.390209
0.325,0.388144,0.388144
0.33,0.385669,0.385669
0.335,0.382715,0.382715
0.34,0.379207,0.379207
0.345,0.375062,0.375062
0.35,0.370199,0.370199
0.355,0.364537,0.364537
0.36,0.358005,0.358005
0.365,0.350546,0.350546
0.37,0.342131,0.342131
0.375,0.332765,0.332765
0.38,0.322494,0.322494
0.385,0.311414,0.311414
0.39,0.299672,0.299672
0.395,0.287458,0.287458
0.4,0.275,0.275
0.405,0.262542,0.262542
0.41,0.250328,0.250328
0.415,0.238586,0.238586
0.42,0.227506,0.227506
0.425,0.217235,0.217235
0.43,0.207869,0.207869
0.435,0.199454,0.199454
0.44,0.191995,0.191995
0.445,0.185463,0.185463
0.45,0.179801,0.179801
0.455,0.174938,0.174938
0.46,0.170793,0.170793
0.465,0.167285,0.167285
0.47,0.164331,0.164331
0.475,0.161856,0.161856
0.48,0.159791,0.159791
0.485,0.158074,0.158074
0.49,0.156649,0.156649
0.495,0.15547,0.15547
0.5,0.154497,0.154497
0.505,0.153694,0.153694
0.51,0.153032,0.153032
0.515,0.152488,0.152488
0.52,0.152041,0.152041
0.525,0.151673,0.151673
0.53,0.151372,0.151372
0.535,0.151124,0.151124
0.54,0.150921,0.150921
0.545,0.150755,0.150755
0.55,0.150618,0.150618
0.555,0.150506,0.150506
0.56,0.150415,0.150415
0.565,0.15034,0.15034
0.57,0.150278,0.150278
0.575,0.150228,0.150228
0.58,0.150187,0.150187
0.585,0.150153,0.150153
0.59,0.150125,0.150125
0.595,0.150102,0.150102
0.6,0.150084,0.150084
0.605,0.150069,0.150069
0.61,0.150056,0.150056
0.615,0.150046,0.150046
0.62,0.150038,0.150038
0.625,0.150031,0.150031
0.63,0.150025,0.150025
0.635,0.150021,0.150021
0.64,0.150017,0.150017
0.645,0.150014,0.150014
0.65,0.150011,0.150011
0.655,0.150009,0.150009
0.66,0.150008,0.150008
0.665,0.150006,0.150006
0.67,0.150005,0.150005
0.675,0.150004,0.150004
0.68,0.150003,0.150003
0.685,0.150003,0.150003
0.69,0.150002,0.150002
0.695,0.150002,0.150002
0.7,0.150002,0.150002
0.705,0.150001,0.150001
0.71,0.150001,0.150001
0.715,0.150001,0.150001
0.72,0.150001,0.150001
0.725,0.150001,0.150001
0.73,0.15,0.15
0.735,0.15,0.15
0.74,0.15,0.15
0.745,0.15,0.15
0.75,0.15,0.15
0.755,0.15,0.15
0.76,0.15,0.15
0.765,0.15,0.15
0.77,0.15,0.15
0.775,0.15,0.15
0.78,0.15,0.15
0.785,0.15,0.15
0.79,0.15,0.15
0.795,0.15,0.15
0.8,0.15,0.15
0.805,0.15,0.15
0.81,0.15,0.15
0.815,0.15,0.15
0.82,0.15,0.15
0.825,0.15,0.15
0.83,0.15,0.15
0.835,0.15,0.15
0.84,0.15,0.15
0.845,0.15,0.15
0.85,0.15,0.15
0.855,0.15,0.15
0.86,0.15,0.15
0.865,0.15,0.15
0.87,0.15,0.15
0.875,0.15,0.15
0.88,0.15,0.15
0.885,0.15,0.15
0.89,0.15,0.15
0.895,0.15,0.15
0.9,0.15,0.15
0.905,0.15,0.15
0.91,0.15,0.15
0.915,0.15,0.15
0.92,0.15,0.15
0.925,0.15,0.15
0.93,0.15,0.15
0.935,0.15,0.15
0.94,0.15,0.15
0.945,0.15,0.15
0.95,0.15,0.15
0.955,0.15,0.15
0.96,0.15,0.15
0.965,0.15,0.15
0.97,0.15,0.15
0.975,0.15,0.15
0.98,0.15,0.15
0.985,0.15,0.15
0.99,0.15,0.15
0.995,0.15,0.15
1,0.15,0.15
